vendor,load_pct,eff_pct
Hopewind,5,
Hopewind,10,
Hopewind,15,
Hopewind,20,
Hopewind,25,
Hopewind,30,
Hopewind,50,
Hopewind,75,
Hopewind,100,
Hoymiles,5,
Hoymiles,10,
Hoymiles,15,
Hoymiles,20,
Hoymiles,25,
Hoymiles,30,
Hoymiles,50,
Hoymiles,75,
Hoymiles,100,
Delta,5,
Delta,10,
Delta,15,
Delta,20,
Delta,25,
Delta,30,
Delta,50,
Delta,75,
Delta,100,
FIMER,5,
FIMER,10,
FIMER,15,
FIMER,20,
FIMER,25,
FIMER,30,
FIMER,50,
FIMER,75,
FIMER,100,
Newen,5,
Newen,10,
Newen,15,
Newen,20,
Newen,25,
Newen,30,
Newen,50,
Newen,75,
Newen,100,
Sineng,5,
Sineng,10,
Sineng,15,
Sineng,20,
Sineng,25,
Sineng,30,
Sineng,50,
Sineng,75,
Sineng,100,
Inovance,5,
Inovance,10,
Inovance,15,
Inovance,20,
Inovance,25,
Inovance,30,
Inovance,50,
Inovance,75,
Inovance,100,
ENERZOLVE,5,
ENERZOLVE,10,
ENERZOLVE,15,
ENERZOLVE,20,
ENERZOLVE,25,
ENERZOLVE,30,
ENERZOLVE,50,
ENERZOLVE,75,
ENERZOLVE,100,
